Number of Threads	Carve Time (s)	Worst Carve Time	Speedup
1	0.221334337	0.509381625	1
2	0.110733818	0.113751607	1.998796221
3	0.077260161	0.135958392	2.864792593
4	0.058162636	0.07412292	3.805438546
5	0.054475998	0.066461832	4.062969842
6	0.041537362	0.052086465	5.328560273
7	0.041758165	0.071890135	5.300384655
8	0.036830459	0.051244328	6.009545985
9	0.036867262	0.04719795	6.003546914
10	0.030199563	0.046823056	7.329057609
11	0.030740107	0.04525053	7.200181086
12	0.029401936	0.042696362	7.527883096
13	0.028172825	0.042492803	7.856306103
14	0.027761868	0.042088844	7.972602456
15	0.029160527	0.042020475	7.5902036
16	0.030690595	0.041133723	7.211796871
17	0.027544145	0.041283979	8.035621981
18	0.027542939	0.029679786	8.03597383
19	0.028079545	0.033871105	7.882404683
20	0.027551236	0.036429078	8.033553812
21	0.027248311	0.036172133	8.122864459
22	0.026467845	0.036171538	8.36238602
23	0.026191449	0.037379455	8.450633525
24	0.026605655	0.039286068	8.319071152
25	0.026196482	0.03885524	8.449009947
26	0.026791574	0.039143373	8.261341308
27	0.025520394	0.03895135	8.672841689
28	0.026731348	0.042058426	8.279954195
29	0.027278835	0.036650308	8.113775277
30	0.026236645	0.036802419	8.436076221
31	0.026830048	0.038426884	8.249494634
32	0.025783012	0.036269517	8.584502734
33	0.026529202	0.041395958	8.343045411
34	0.025688673	0.036120875	8.616028434
35	0.025885738	0.036825297	8.550435649
36	0.025421443	0.030627213	8.706600054
